id,filename,intended_use,direction,prompt_summary
51,51-four-experts-diagram.png,Architecture explainer,"Four experts, one probability","Show four equal expert modules converging into one reviewable probability output. Use the four skewed rounded-bar SynthFlag mark as the organizing metaphor, but keep the diagram flat and simple."
52,52-review-split.png,Review-state graphic,Flag for review,"Create an abstract two-lane review graphic showing “continue” and “flag for review” as calm operational states, not real-versus-fake verdicts. Use one cobalt signal moving between rounded cards."
53,53-uncertainty-callout.png,Uncertainty callout,"Specific, calm, qualified",Design a clear editorial callout that keeps uncertainty visible beside a detection result. Use the four-bar mark and one cobalt dot as the signal.
54,54-method-card.png,Method summary card,Method before claim,"Create a reusable method card that foregrounds method, dataset, split, threshold, and uncertainty before any claim. Leave answer areas blank."
55,55-source-frame-overlay.png,Image-analysis overlay,Source frame,"Create a clean image-analysis framing overlay with four cobalt corner brackets, a small four-bar mark, and minimal review labels. The center must remain open for a real image to be placed later."
56,56-signal-pattern-light.png,Light brand background,Four-bar signal field,"Create a calm repeatable-feeling brand background derived only from the SynthFlag four skewed rounded bars, thin measurement rules, and large open fields. No logo lockup and no text."
57,57-signal-pattern-dark.png,Dark brand background,Deep signal field,Create a restrained dark presentation background derived from the four skewed rounded-bar mark and one measured cobalt signal line. No text.
58,58-for-review-badge.png,Transparent review badge,Operational state,Create a compact horizontal pill badge using the four skewed cobalt bars and a calm review-state label.
59,59-report-figure-frame.png,Report figure frame,Evidence figure,"Design a blank publication-ready figure frame with a title zone, plot zone, direct-label column, and caveat footer. It must contain no data."
60,60-evidence-before-certainty.png,Core promise tile,Evidence before certainty,Create a bold but calm brand tile centered on the evidence-first promise. Use oversized editorial typography and the four skewed rounded-bar mark.
